uba_field_name,cim_field_name,required
riskClassification,severity,Y
externalAction,action,Y
application,app,N
sourceIp,src_ip,N
sourceDns,src_host,N
destinationIp,dest_ip,N
destinationDns,dest_host,N
srcUser,user,N
srcUser_department,user_department,N
category,category,N
fileName,file_name,N
filePath,file_path,N
emailRecipients,recipient,N
emailSenderId,src_user,N
emailSubject,subject,N
policy,policy,N
evcls,signature,Y
