uba_field_name,cim_field_name,required
sourceIp,src_ip,Y
sourcePort,src_port,N
destinationIp,dest_ip,N
dnsQuery,query,Y
dnsResponse,answer,Y
questionType,query_type,Y
duration,duration,N
ttl,ttl,N
opcode,record_type,N
evcls,message_type,Y
