uba_field_name,cim_field_name,required
externalAction,action,Y
bytesReceived,bytes_in,Y
bytesSent,bytes_out,Y
bytesTransmitted,bytes,N
httpApplicationType,category,N
destinationIp,dest_ip,N
httpContentType,http_content_type,Y
httpMethod,http_method,Y
httpReferrer,http_referrer,N
httpAgent,http_user_agent,Y
httpResponseTime,response_time,N
sourceIp,src_ip,Y
httpStatus,status,Y
srcUser,user,N
externalUrl,url,Y
duration,duration,N
