uba_field_name,cim_field_name,required
endpointIp,dest_ip,Y
endpointDns,dest_host,N
endpointDomain,dest_nt_domain,N
evcls,eventtype,Y
evid,event_id,N
evctg,category,N
evsubctg,signature,N
alarmCategories,<custom>,N
riskClassification,severity,Y
externalAction,action,Y
sourceIp,src_ip,N
sourceDns,src_host,N
user,user,N
fileName,file_name,N
filePath,file_path,N
processName,process,N
processPath,process_path,N
